Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 7,Maths,Term 1,English,கூட்்டல் சமனி,Additive Identity,True
Class 7,Maths,Term 1,English,அடுத்்தடுத்்தமையாக்,Non-adjacent angle,True
Class 7,Maths,Term 1,English,கோ>ோணங்்கள்,Additive Inverse,True
Class 7,Maths,Term 1,English,எண் மதிப்பு,Numerical value,True
Class 7,Maths,Term 1,English,அடுத்துள்்ள கோ>ோணங்்கள்,Adjacent angle,True
Class 7,Maths,Term 1,English,எண் கெழு,Numerical co-efficient,True
Class 7,Maths,Term 1,English,அடுத்துள்்ள பக்்கங்்கள்,Adjacent sides,True
Class 7,Maths,Term 1,English,இணை பக்்கங்்கள்,Parallel sides,True
Class 7,Maths,Term 1,English,ஒன்றுவிட்்ட வெளி,Alternate exterior,True
Class 7,Maths,Term 1,English,கோ>ோணங்்கள்,angle,True
Class 7,Maths,Term 1,English,இணைகரம்,Parallelogram,True
Class 7,Maths,Term 1,English,ஒன்றுவிட்்ட உட்கோணங்்கள்,Alternate interior angle,False
Class 7,Maths,Term 1,English,அமைப்பு,Pattern,True
Class 7,Maths,Term 1,English,ஒன்றுவிட்்ட,Alternate,True
Class 7,Maths,Term 1,English,செங்குத்து,Perpendicular,True
Class 7,Maths,Term 1,English,கோ>ோண இருசமவெட்டி,Angle bisector,True
Class 7,Maths,Term 1,English,செங்குத்துச் சமவெட்டி,Perpendicular bisector,False
Class 7,Maths,Term 1,English,சேர்ப்புப் பண்பு,Associative property,True
Class 7,Maths,Term 1,English,மிகை முழுக்்கள்,Positive Integers,True
Class 7,Maths,Term 1,English,அடிப்பக்்கம்,Base,True
Class 7,Maths,Term 1,English,பண்புகள்,Properties,True
Class 7,Maths,Term 1,English,அடைவு பண்பு,Closure property,True
Class 7,Maths,Term 1,English,புதிர்,Puzzle,True
Class 7,Maths,Term 1,English,கெழு,Co-efficient,True
Class 7,Maths,Term 1,English,நினைவுகூர்்தல்,Recall,True
Class 7,Maths,Term 1,English,பரிமாற்றுப் பண்பு,Commutative property,False
Class 7,Maths,Term 1,English,ஒழுங்குமுறை,Regulation,True
Class 7,Maths,Term 1,English,ஒப்பீடு,Compare,True
Class 7,Maths,Term 1,English,சாய்சதுரம்,Rhombus,True
Class 7,Maths,Term 1,English,மாறிலி,Constant,True
Class 7,Maths,Term 1,English,தொ�ொடடர்்வரிசை,Sequence,True
Class 7,Maths,Term 1,English,ஒத்்த கோ>ோணங்்கள்,Corresponding angles,False
Class 7,Maths,Term 1,English,காட்சிப்்பபேழை,Showcase,True
Class 7,Maths,Term 1,English,மூலைவிட்்டம்,Diagonal,True
Class 7,Maths,Term 1,English,பிரதியிடுததல்,Substitution,True
Class 7,Maths,Term 1,English,பங்கீட்டுப் பண்பு,Distributive property,True
Class 7,Maths,Term 1,English,உறுப்புகள்,Terms,True
Class 7,Maths,Term 1,English,சமன்்பபாடு,Equation,True
Class 7,Maths,Term 1,English,நான்கு சதுரங்்கள்,Tetromino,True
Class 7,Maths,Term 1,English,இணைக்்கப்பட்்ட வடிவம்,Formation,True
Class 7,Maths,Term 1,English,வில்்லலைகள்,Tokens,True
Class 7,Maths,Term 1,English,பொ�ொதுமைப்படுத்து,Generalize,True
Class 7,Maths,Term 1,English,போ�ோக்குவரத்து,Traffic,True
Class 7,Maths,Term 1,English,உயரம்,Height,True
Class 7,Maths,Term 1,English,குறுக்குவெட்டி,Transversal,True
Class 7,Maths,Term 1,English,கிடைமட்்டம்,Horizontal,True
Class 7,Maths,Term 1,English,சரிவகம்,Trapezium,True
Class 7,Maths,Term 1,English,முழுக்்கள்,Integers,True
Class 7,Maths,Term 1,English,வரையறுக்்க படாதத து.,Undefined,True
Class 7,Maths,Term 1,English,கோ>ோணத்தின் உட்பகுதி,Interior of an angle,True
Class 7,Maths,Term 1,English,மாறுபட்்ட உறுப்புகள்,Unlike terms,True
Class 7,Maths,Term 1,English,இரு சமபக்்கசரிவகம்,Isosceles trapezium,True
Class 7,Maths,Term 1,English,மாறி,Variable,True
Class 7,Maths,Term 1,English,ஒத்்த உறுப்புகள்,Like terms,True
Class 7,Maths,Term 1,English,முனை (அ) உச்சி,Vertex,True
Class 7,Maths,Term 1,English,நேரியச் சமன்்பபாடுகள்,Linear equations,True
Class 7,Maths,Term 1,English,செங்குத்்ததாக,Vertically,True
Class 7,Maths,Term 1,English,நேரிய கோ>ோண இணைகள்,Linear pair of angle,True
Class 7,Maths,Term 1,English,குத்்ததெதிர் கோ>ோணங்்கள்,Vertically opposite,True
Class 7,Maths,Term 1,English,பெருக்்கல் சமனி,Multiplicative Identity,False
Class 7,Maths,Term 1,English,குறை முழுக்்கள்,Negative Integers,True
Class 7,Maths,Term 1,Tamil,இணையதளள ம்,(https://www.aazp.in/live-streaming/),True
Class 7,Maths,Term 1,Tamil,நேரடியாக ஒளிபரப்பும்,(Live,False
Class 7,Maths,Term 1,Tamil,வசதி செய்யப்பட்டுள்்ளது.,Streaming),False
Class 7,Maths,Term 1,Tamil,ஏழாம் வகுப்பு - கணிதம்,7th_Maths_T1_TM_Chp6.indd 7th_Maths_T1_TM_Chp6.indd 126 126,True
Class 7,Maths,Term 1,Tamil,ஈரோ�ோடு ஈரோ�ோடு,A.e,True
Class 7,Maths,Term 1,Tamil,கோ�ோயம்புத்தூர் கோ�ோயம்புத்தூர்,A.e,True
Class 7,Maths,Term 1,Tamil,கரூர்,131 A.e,True
Class 7,Maths,Term 1,Tamil,விலிருந்து இக்கான இடைப்பட்்ட தூரம் மீ,A D,False
Class 7,Maths,Term 1,Tamil,விலிருந்து வழியாக இக்கான தூரம் மீ,A B D,False
Class 7,Maths,Term 1,Tamil,விலிருந்து வழியாக) இக்கான தூரம் மீ,A C D,False
Class 7,Maths,Term 1,Tamil,"எனவேவே, விலிருந்து இக்கு நேரடியாக இணைப்பு வழங்கும்பொழுது, குறைந்த அளள வு",A D,False
Class 7,Maths,Term 1,Tamil,இயல் 6 | தகவல் செயலாக்கம் 127,7th_Maths_T1_TM_Chp6.indd 7th_Maths_T1_TM_Chp6.indd 127 127,True
Class 7,Maths,Term 1,Tamil,சென்்ட்்ர்ரல் பூங்கா,Central Park,False
Class 7,Maths,Term 1,Tamil,நூலகம்,LIBRARY,False
Class 7,Maths,Term 1,Tamil,பழக்்கடை,Fruit Shop,False
Class 7,Maths,Term 1,Tamil,தீயணைப்பு நிலையம் வழியாக வீட்டிலிருந்து பள்ளிக்குச் செல்லும் அனைத்துப் பாதைகளையும்,(i),False
Class 7,Maths,Term 1,Tamil,பள்ளியிலிருந்து சென்்ட்்ர்ரல் பூங்காவிற்குச் செல்்லக் கூடிய அனைத்துப் பாதைகளையும் அவற்றின்,(ii),False
