Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 6,Science,Term 3,Tamil,படி இச்கொசயல்பாட்டிலனத் கொதைாடங்க என்னும் கொபாத்தைாலன கொசாடுக்கவும். பின்பு,‘PLAY’,False
Class 6,Science,Term 3,Tamil,என்பலதை கொசாடுக்கவும்.,‘START’,False
Class 6,Science,Term 3,Tamil,மருந்ொ? நஞ்சா? உரலி:,http://www.rigb.org/education/games/natural-world/kill-or-cure,True
Class 6,Science,Term 3,Tamil,*படங்கள் அலடயா்ளத்திற்காக மட்டுபோம.,6th 6th Science_IIIrd Science_IIIrd Term Term Tamil Tamil Book_Unit_5.indd Book_Unit_5.indd 84 84,True
Class 6,Science,Term 3,Tamil,"சரியா, ெவ்றா? ெவ்றாக இருந்ொல் சரியான",III.,False
Class 6,Science,Term 3,Tamil,பின்வருவனவற்றுள் எது லவட்டமின்,‘C’,False
Class 6,Science,Term 3,Tamil,பின்வருவனவற்ல்றப் தபாருத்துக.,IV.,False
Class 6,Science,Term 3,Tamil,போகாடிட்்ட இ்டங்கல்ள நிரப்புக,II.,False
Class 6,Science,Term 3,Tamil,ஒப்பிடுக,V.,False
Class 6,Science,Term 3,Tamil,: : மண்புழு :,6th 6th Science_IIIrd Science_IIIrd Term Term Tamil Tamil Book_Unit_5.indd Book_Unit_5.indd 85 85,True
Class 6,Science,Term 3,Tamil,மிகக் குறுகிய வில்ட ெருக,VI.,False
Class 6,Science,Term 3,Tamil,குறுகிய வில்ட ெருக,VII.,False
Class 6,Science,Term 3,Tamil,விரிவான வில்ட ெருக,VIII.,False
Class 6,Science,Term 3,Tamil,உயர் சிந்ெலனத்தி்றன் வினாவிற்கு,IX.,False
Class 6,Science,Term 3,Tamil,எதுவாயினும் ஏன் என்பலதை எழுதுக?,6th 6th Science_IIIrd Science_IIIrd Term Term Tamil Tamil Book_Unit_5.indd Book_Unit_5.indd 86 86,True
Class 6,Science,Term 3,Tamil,மனிதை,(HARDWARE),True
Class 6,Science,Term 3,Tamil,ஆகிய இரு கொபரும் பகுதிகல்ள,(SOFTWARE),False
Class 6,Science,Term 3,Tamil,கொகாடுக்கும்,6th 6th Science_IIIrd Science_IIIrd Term Term Tamil Tamil Book_Unit_6.indd Book_Unit_6.indd 87 87,True
Class 6,Science,Term 3,Tamil,வன்தபாருள்,(HARDWARE),False
Class 6,Science,Term 3,Tamil,உள்ளீட்டு,"(INPUT),",True
Class 6,Science,Term 3,Tamil,கொவளியீட்டு கருவிகள் மற்றும்,(OUTPUT),False
Class 6,Science,Term 3,Tamil,அலமந்திருக்கும் நிலனவகம்,(CPU Cabinet),False
Class 6,Science,Term 3,Tamil,கொமன்கொபாருள்,(SYSTEM,True
Class 6,Science,Term 3,Tamil,தைாய்ப்பைலக,"(Hard Disk), (MOTHER BOARD),",False
Class 6,Science,Term 3,Tamil,பயன்பாட்டு கொமன்கொபாருள்,(APPLICATION,False
Class 6,Science,Term 3,Tamil,இதில் அடங்கும்.,CARD,False
Class 6,Science,Term 3,Tamil,தமன்தபாருள்,(SOFTWARE),False
Class 6,Science,Term 3,Tamil,3.1 இயக்க தமன்தபாருள்,(OPERATING SYSTEM-OS),True
Class 6,Science,Term 3,Tamil,"தைரவுகல்ளக் கொகாண்ட கொமன்கொபாருல்ள,",(Data),False
Class 6,Science,Term 3,Tamil,கொமன்கொபாருள் இன்றி கணினிலயப்,(OS),False
Class 6,Science,Term 3,Tamil,பயன்படுத்தை இயைாது. (எ.கா.),"Linux, Windows,",False
Class 6,Science,Term 3,Tamil,தமன்தபாருள்,"Mac, Android.",True
Class 6,Science,Term 3,Tamil,3.2. பயன்பாட்டு தமன்தபாருள்,(APPLICATION SOFTWARE),True
Class 6,Science,Term 3,Tamil,கொமன்கொபாருள்கபோ்ள,6th 6th Science_IIIrd Science_IIIrd Term Term Tamil Tamil Book_Unit_6.indd Book_Unit_6.indd 88 88,True
Class 6,Science,Term 3,Tamil,எ.கா,"Video players, Audio players, Word processing softwares, Drawing tools, Editing software’s, etc.",False
Class 6,Science,Term 3,Tamil,பய பா ெம ெபா,(System Software),True
Class 6,Science,Term 3,Tamil,ேதைவயான,(Application Software),True
Class 6,Science,Term 3,Tamil,றிபி ட,(System Management Program),True
Class 6,Science,Term 3,Tamil,கணினி,(Linker),True
Class 6,Science,Term 3,Tamil,வைரப,(Loader)…,True
Class 6,Science,Term 3,Tamil,கட்டற்ை மற்றும் திைந்தை மூை கொமன்கொபாருள்,(FREE AND OPEN SOURCE),False
Class 6,Science,Term 3,Tamil,கட்டண மற்றும் தைனியுரிலம கொமன்கொபாருள்,(PAID AND PROPRIETARY SOFTWARE),False
Class 6,Science,Term 3,Tamil,தமன்தபாருள்,(FREE AND OPEN,False
Class 6,Science,Term 3,Tamil,மதிப்பீடு,SOURCE SOFTWARE),True
Class 6,Science,Term 3,Tamil,சரியான வில்டலயத்,I.,False
Class 6,Science,Term 3,Tamil,நிரல்கல்ளத்,(Coding’s),True
Class 6,Science,Term 3,Tamil,அ. தைாய்ப்பைலக ஆ.,SMPS,False
Class 6,Science,Term 3,Tamil,இ.,RAM,False
Class 6,Science,Term 3,Tamil,ஈ.,MOUSE,False
Class 6,Science,Term 3,Tamil,இ. இயக்கமில்ைா கொமன்கொபாருள் மற்றும்,Open Source Initiative.,True
Class 6,Science,Term 3,Tamil,லினக்ஸ்,(LINUX),False
Class 6,Science,Term 3,Tamil,என்பது,LINUX,False
Class 6,Science,Term 3,Tamil,ஓபன் ஆபீஸ்,(Open Office),False
Class 6,Science,Term 3,Tamil,இயக்க கொமன்கொபாருள்,(Operating System),False
Class 6,Science,Term 3,Tamil,ஜிபோயாஜீப்ரா,"(Geogebra), etc",False
Class 6,Science,Term 3,Tamil,தமன்தபாருள்,(PAID AND,False
Class 6,Science,Term 3,Tamil,கொமன்கொபாருள்,PROPRIETARY SOFTWARE),True
Class 6,Science,Term 3,Tamil,அ.,WINDOWS,False
Class 6,Science,Term 3,Tamil,ஆ.,MAC OS,False
Class 6,Science,Term 3,Tamil,இ.,Adobe Photoshop,False
Class 6,Science,Term 3,Tamil,விண்போடாஸ்,(Windows),False
Class 6,Science,Term 3,Tamil,லமக்போராசாப்ட் ஆபீஸ்,(Microsoft office),False
Class 6,Science,Term 3,Tamil,அ.,ANDROID,False
Class 6,Science,Term 3,Tamil,ஆ.,Chrome,False
Class 6,Science,Term 3,Tamil,ஃபோபாட்போடாஷாப்,(Adobe,True
Class 6,Science,Term 3,Tamil,இ.,Internet,False
Class 6,Science,Term 3,Tamil,ஈ.,Pendrive,False
Class 6,Science,Term 3,Tamil,தபாருத்துக,II.,False
Class 6,Science,Term 3,Tamil,சிறுவினா,III.,False
Class 6,Science,Term 3,Tamil,இைவச மற்றும் கட்டற்ை,MAC OS,False
Class 6,Science,Term 3,Tamil,கட்டண மற்றும் தைனி,Software,False
Class 6,Science,Term 3,Tamil,உள்ளீட்டு கருவி,Hardware,False
Class 6,Science,Term 3,Tamil,கொமன்கொபாருள்கள் என்ைால் என்ன?,Keyboard - RAM,True
Class 6,Science,Term 3,Tamil,இரண்டு உதைாரணங்கள் தைருக?,LINUX,True
Class 6,Science,Term 3,Tamil,அைங்காரத் தைாவரங்கள்,Geogebra,True
Class 6,Science,Term 3,Tamil,போசாற்றுக் கற்ைாலழ,Aloe,True
Class 6,Science,Term 3,Tamil,சூழ்நிலை மண்டைம்,Ornamental Plants,True
Class 6,Science,Term 3,Tamil,இயற்லக கல்ளக்கொகால்லி,Ecosystem,True
Class 6,Science,Term 3,Tamil,தையாரிப்பா்ளர்கள்,Natural pesticides,True
Class 6,Science,Term 3,Tamil,இயற்லக நிைங்காட்டி,Producers,True
Class 6,Science,Term 3,Tamil,தைானியம்,Cereal,True
Class 6,Science,Term 3,Tamil,தைாவர உண்ணி,Natural Indicator,True
Class 6,Science,Term 3,Tamil,உணவுச் சங்கிலி,Food Chain,True
Class 6,Science,Term 3,Tamil,உணவு வலை,Herbivore,True
Class 6,Science,Term 3,Tamil,கொதைன் துருவம்,Food web,True
Class 6,Science,Term 3,Tamil,உயிரினச் சிலதைவிற்கு,South pole,True
Class 6,Science,Term 3,Tamil,நிைத்தைடி நீர்,Bio degradable waste,True
Class 6,Science,Term 3,Tamil,உள்்ளாகும் கழிவுகள்,Ground water,True
Class 6,Science,Term 3,Tamil,நிைத்தில் நிரப்புதைல்,Non Bio degradable waste,True
Class 6,Science,Term 3,Tamil,உள்்ளாகாதை கழிவுகள்,Land Fill,True
Class 6,Science,Term 3,Tamil,உயிரி எரிகொபாருள்,Bio - fuel,True
Class 6,Science,Term 3,Tamil,நீர் சுழற்சி,Water cycle,True
Class 6,Science,Term 3,Tamil,எரித்துச் சாம்பைாக்குதைல்,Incinerate,True
Class 6,Science,Term 3,Tamil,நீர் சுத்திகரிப்பு நிலையம்,Water treatment plant,True
Class 6,Science,Term 3,Tamil,ஒத்தை துருவங்கள்,Like poles,True
Class 6,Science,Term 3,Tamil,நுகர்போவார்கள்,Consumers,True
Class 6,Science,Term 3,Tamil,கனிம உரம்,Inorganic Fertilizer,True
Class 6,Science,Term 3,Tamil,ஒட்டும் கொபாருள்கள்,Adhesives,True
Class 6,Science,Term 3,Tamil,கரிம உரம்,Organic Fertilizer,True
Class 6,Science,Term 3,Tamil,பருப்பு வலககள்,Pulses,True
Class 6,Science,Term 3,Tamil,காந்தைம்,Magnet,True
Class 6,Science,Term 3,Tamil,மரக்கட்லடகள்,Timber,True
Class 6,Science,Term 3,Tamil,மஞ்சள் தூள்,Magnetic Material,True
Class 6,Science,Term 3,Tamil,காந்தை தைன்லமயற்ை கொபாருள்கள்,Non – Magnetic substances,False
Class 6,Science,Term 3,Tamil,மண்புழுஉரம்,Vermi compost,True
Class 6,Science,Term 3,Tamil,மட்கிய உரம்,Magnetization,True
Class 6,Science,Term 3,Tamil,காந்தை ஊசிப்கொபட்டி,Compost,True
Class 6,Science,Term 3,Tamil,மசாைாப் கொபாருள்கள்,Magnetic compass,True
Class 6,Science,Term 3,Tamil,காந்தை ஈர்ப்பு,Spices,True
Class 6,Science,Term 3,Tamil,மகரந்தைச் போசர்க்லகயா்ளர்கள்,Magnetic attraction,True
Class 6,Science,Term 3,Tamil,காந்தை விைகல்,Pollinators,True
Class 6,Science,Term 3,Tamil,மாசுபாடு,Magnetic repulsion,True
Class 6,Science,Term 3,Tamil,காந்தைம்,Pollution,True
Class 6,Science,Term 3,Tamil,மின் காந்தைம்,Electromagnet,True
Class 6,Science,Term 3,Tamil,கொமன்கட்லட,Magnet,True
Class 6,Science,Term 3,Tamil,கிருமி நாசினி,Soft wood,True
Class 6,Science,Term 3,Tamil,முகத்துவாரம்,Disinfectant,True
Class 6,Science,Term 3,Tamil,சதுப்பு,Estuary,True
Class 6,Science,Term 3,Tamil,போமற்பரப்பு நீர்,Swamp,True
Class 6,Science,Term 3,Tamil,சிலதைப்பான்கள்,Surface water,True
Class 6,Science,Term 3,Tamil,வன்கட்லட,Hard wood,True
Class 6,Science,Term 3,Tamil,வட துருவம்,Decomposers,True
Class 6,Science,Term 3,Tamil,கொசயற்லக காந்தைம்,North pole,True
Class 6,Science,Term 3,Tamil,எதிகொரதிர் துருவங்கள்,Artificial magnet,True
Class 6,Science,Term 3,Tamil,கொசயற்லக,Unlike poles,True
Class 6,Science,Term 3,Tamil,கொசன்லன.,"SCERT,",False
Class 6,Science,Term 3,Tamil,"விரிவுலரயா்ளர் ஆடுதுலை, தைஞ்சாவூர்.","DIET,",False
Class 6,Science,Term 3,Tamil,"முதுநிலை விரிவுலரயா்ளர், திரூர்.","DIET,",False
Class 6,Science,Term 3,Tamil,கொதைாழில்நுட்பக் குழு,EMIS,False
Class 6,Science,Term 3,Tamil,"கல்வி போமைாண்லம தைகவல் முலைலம,",QC,True
Class 6,Science,Term 3,Tamil,ஒருங்கிலணந்தை பள்ளிக்கல்வி இயக்ககம்.,6th 6th Science_IIIrd Science_IIIrd Term Term Tamil Tamil Book_Unit_6.indd Book_Unit_6.indd 92 92,True
