Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 6,Science,Term 2,English,கட்டுப்்பபாட்்டகம்,Con trol U n it,False
Class 6,Science,Term 2,English,குறுவட்டு,Compact D isk,False
Class 6,Science,Term 2,English,கம்பி,Cord/cable,True
Class 6,Science,Term 2,English,செரிமபான மண்்டலம்,D igestive,True
Class 6,Science,Term 2,English,வளிமண்்டலம்,A tmosph ere,True
Class 6,Science,Term 2,English,தரவுக்கம்பி,D ata cable,True
Class 6,Science,Term 2,English,மின் ஆற்்றல்,Electrical energy,False
Class 6,Science,Term 2,English,கணிதத்தருக்கச் செயலகம்,U n it,True
Class 6,Science,Term 2,English,மின் சுற்று,Electrical circuit,False
Class 6,Science,Term 2,English,உண்ணமயபான உட்கரு,A u dio jack,True
Class 6,Science,Term 2,English,ஒலி இணைப்்பபான்,Eukaryotic cell,True
Class 6,Science,Term 2,English,உண்டய செல்,Battery,True
Class 6,Science,Term 2,English,மின் கல அடுக்கு,Excretory,True
Class 6,Science,Term 2,English,கழிவு நீக்க மண்்டலம்,sy stem,True
Class 6,Science,Term 2,English,அடிப்்பண்ட அலகு,Basic U n it,True
Class 6,Science,Term 2,English,நபாளமில்லபாசுரப்பி மண்்டலம்.,En docrin e,True
Class 6,Science,Term 2,English,்பட்ண்டகுறியீடு ்படிப்்பபான்,Barcode Read er,False
Class 6,Science,Term 2,English,உரபாய்வு,Friction,True
Class 6,Science,Term 2,English,ஊ்டணல,Blu etooth,True
Class 6,Science,Term 2,English,எரிச்பபாருள்,Fu el,True
Class 6,Science,Term 2,English,எரிதல்,Combu stion,True
Class 6,Science,Term 2,English,சு்டர்,Flame,True
Class 6,Science,Term 2,English,சுருங்குதல்,Con traction,True
Class 6,Science,Term 2,English,உண்றதல்,Freez in g,True
Class 6,Science,Term 2,English,கணெஇணை,Flagella,True
Class 6,Science,Term 2,English,்பரும விரிவு,Expan sion,True
Class 6,Science,Term 2,English,உைவு உற்்பத்தி,Food production,False
Class 6,Science,Term 2,English,விரிெல்,Crack in g,True
Class 6,Science,Term 2,English,சவப்்பம்,H eat,True
Class 6,Science,Term 2,English,மின்கலன்,Cell,True
Class 6,Science,Term 2,English,சவப்்பம் க்டத்தல்,H eat tran sfer,False
Class 6,Science,Term 2,English,வவதி ஆற்்றல்,Chemical energy,False
Class 6,Science,Term 2,English,மின்க்டத்தபா ச்பபாருள்,I n su lators,True
Class 6,Science,Term 2,English,மின் க்டத்திகள்,Con du ctors,True
Class 6,Science,Term 2,English,எளிதில் எரியக்கூடிய,I n fl ammable,True
Class 6,Science,Term 2,English,இணயபு,Composition,True
Class 6,Science,Term 2,English,உள்ளீட்்டகம்,I n pu t u n it,True
Class 6,Science,Term 2,English,அழுத்தப்்பட்்ட கபாற்று,Compressed air,False
Class 6,Science,Term 2,English,இயக்க ஆற்்றல்,Kinetic energy,False
Class 6,Science,Term 2,English,்பசுங்கணிகம்,Ch loroplast,True
Class 6,Science,Term 2,English,நீள் விரிவு,Lin ear,True
Class 6,Science,Term 2,English,்பச்ணெயம்,Ch lorophy ll,True
Class 6,Science,Term 2,English,சவண்கணிகம்,Leu coplast,True
Class 6,Science,Term 2,English,கூட்டு நுண்வைபாக்கி,microscope,True
Class 6,Science,Term 2,English,ஒளிப்வ்பனபா,Ligh t Pen,True
Class 6,Science,Term 2,English,செல் உறுப்புகள்,Cell organelles,False
Class 6,Science,Term 2,English,இரத்த ஓட்்ட மண்்டலம்,Circu latory,True
