Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 7,Maths,Term 1,English,கூட்்டல் சமனி,Additive Identity,True
Class 7,Maths,Term 1,English,அடுத்்தடுத்்தமையாக்,Non-adjacent angle,True
Class 7,Maths,Term 1,English,கோ>ோணங்்கள்,Additive Inverse,True
Class 7,Maths,Term 1,English,எண் மதிப்பு,Numerical value,True
Class 7,Maths,Term 1,English,அடுத்துள்்ள கோ>ோணங்்கள்,Adjacent angle,True
Class 7,Maths,Term 1,English,எண் கெழு,Numerical co-efficient,True
Class 7,Maths,Term 1,English,அடுத்துள்்ள பக்்கங்்கள்,Adjacent sides,True
Class 7,Maths,Term 1,English,இணை பக்்கங்்கள்,Parallel sides,True
Class 7,Maths,Term 1,English,ஒன்றுவிட்்ட வெளி,Alternate exterior,True
Class 7,Maths,Term 1,English,கோ>ோணங்்கள்,angle,True
Class 7,Maths,Term 1,English,இணைகரம்,Parallelogram,True
Class 7,Maths,Term 1,English,ஒன்றுவிட்்ட உட்கோணங்்கள்,Alternate interior angle,False
Class 7,Maths,Term 1,English,அமைப்பு,Pattern,True
Class 7,Maths,Term 1,English,ஒன்றுவிட்்ட,Alternate,True
Class 7,Maths,Term 1,English,செங்குத்து,Perpendicular,True
Class 7,Maths,Term 1,English,கோ>ோண இருசமவெட்டி,Angle bisector,True
Class 7,Maths,Term 1,English,செங்குத்துச் சமவெட்டி,Perpendicular bisector,False
Class 7,Maths,Term 1,English,சேர்ப்புப் பண்பு,Associative property,True
Class 7,Maths,Term 1,English,மிகை முழுக்்கள்,Positive Integers,True
Class 7,Maths,Term 1,English,அடிப்பக்்கம்,Base,True
Class 7,Maths,Term 1,English,பண்புகள்,Properties,True
Class 7,Maths,Term 1,English,அடைவு பண்பு,Closure property,True
Class 7,Maths,Term 1,English,புதிர்,Puzzle,True
Class 7,Maths,Term 1,English,கெழு,Co-efficient,True
Class 7,Maths,Term 1,English,நினைவுகூர்்தல்,Recall,True
Class 7,Maths,Term 1,English,பரிமாற்றுப் பண்பு,Commutative property,False
Class 7,Maths,Term 1,English,ஒழுங்குமுறை,Regulation,True
Class 7,Maths,Term 1,English,ஒப்பீடு,Compare,True
Class 7,Maths,Term 1,English,சாய்சதுரம்,Rhombus,True
Class 7,Maths,Term 1,English,மாறிலி,Constant,True
Class 7,Maths,Term 1,English,தொ�ொடடர்்வரிசை,Sequence,True
Class 7,Maths,Term 1,English,ஒத்்த கோ>ோணங்்கள்,Corresponding angles,False
Class 7,Maths,Term 1,English,காட்சிப்்பபேழை,Showcase,True
Class 7,Maths,Term 1,English,மூலைவிட்்டம்,Diagonal,True
Class 7,Maths,Term 1,English,பிரதியிடுததல்,Substitution,True
Class 7,Maths,Term 1,English,பங்கீட்டுப் பண்பு,Distributive property,True
Class 7,Maths,Term 1,English,உறுப்புகள்,Terms,True
Class 7,Maths,Term 1,English,சமன்்பபாடு,Equation,True
Class 7,Maths,Term 1,English,நான்கு சதுரங்்கள்,Tetromino,True
Class 7,Maths,Term 1,English,இணைக்்கப்பட்்ட வடிவம்,Formation,True
Class 7,Maths,Term 1,English,வில்்லலைகள்,Tokens,True
Class 7,Maths,Term 1,English,பொ�ொதுமைப்படுத்து,Generalize,True
Class 7,Maths,Term 1,English,போ�ோக்குவரத்து,Traffic,True
Class 7,Maths,Term 1,English,உயரம்,Height,True
Class 7,Maths,Term 1,English,குறுக்குவெட்டி,Transversal,True
Class 7,Maths,Term 1,English,கிடைமட்்டம்,Horizontal,True
Class 7,Maths,Term 1,English,சரிவகம்,Trapezium,True
Class 7,Maths,Term 1,English,முழுக்்கள்,Integers,True
Class 7,Maths,Term 1,English,வரையறுக்்க படாதத து.,Undefined,True
Class 7,Maths,Term 1,English,கோ>ோணத்தின் உட்பகுதி,Interior of an angle,True
Class 7,Maths,Term 1,English,மாறுபட்்ட உறுப்புகள்,Unlike terms,True
Class 7,Maths,Term 1,English,இரு சமபக்்கசரிவகம்,Isosceles trapezium,True
Class 7,Maths,Term 1,English,மாறி,Variable,True
Class 7,Maths,Term 1,English,ஒத்்த உறுப்புகள்,Like terms,True
Class 7,Maths,Term 1,English,முனை (அ) உச்சி,Vertex,True
Class 7,Maths,Term 1,English,நேரியச் சமன்்பபாடுகள்,Linear equations,True
Class 7,Maths,Term 1,English,செங்குத்்ததாக,Vertically,True
Class 7,Maths,Term 1,English,நேரிய கோ>ோண இணைகள்,Linear pair of angle,True
Class 7,Maths,Term 1,English,குத்்ததெதிர் கோ>ோணங்்கள்,Vertically opposite,True
Class 7,Maths,Term 1,English,பெருக்்கல் சமனி,Multiplicative Identity,False
Class 7,Maths,Term 1,English,குறை முழுக்்கள்,Negative Integers,True
Class 7,Maths,Term 2,English,பரபபளவு,Area,True
Class 7,Maths,Term 2,English,நூறில் ஒன்று,Hundredth,True
Class 7,Maths,Term 2,English,அடிமானம்,Base,True
Class 7,Maths,Term 2,English,ரணம்,Celestial bodies,True
Class 7,Maths,Term 2,English,வான் ப�ொருட்கள்,Integral part,True
Class 7,Maths,Term 2,English,முழு எண் பகுதி,Interior opposite,True
Class 7,Maths,Term 2,English,வட்டம்,Circle,True
Class 7,Maths,Term 2,English,உள்ளெ திர் க�ோணம்,angle,True
Class 7,Maths,Term 2,English,வட்டவளையம்,Circular ring,True
Class 7,Maths,Term 2,English,தலையாயக் கெழு,Leading Coefficient,False
Class 7,Maths,Term 2,English,பரிதி,Circumference,True
Class 7,Maths,Term 2,English,குறியீடு,Notation,True
Class 7,Maths,Term 2,English,சரவசமம்,Congruence,True
Class 7,Maths,Term 2,English,பாதை,Pathway,True
Class 7,Maths,Term 2,English,சரவசம தன்மை,Congruency,True
Class 7,Maths,Term 2,English,பலக�ோணம்,Polygon,True
Class 7,Maths,Term 2,English,சரவசம முக்கோணம்,Congruent triangle,True
Class 7,Maths,Term 2,English,அடுக்கு,Power,True
Class 7,Maths,Term 2,English,அடுததடுதத உறுப்புககள்,Consecutive terms,True
Class 7,Maths,Term 2,English,ஒதத பக்கம்,Corresponding side,False
Class 7,Maths,Term 2,English,ஆரம்,Radius,True
Class 7,Maths,Term 2,English,க�ொள்கை,Criterion,True
Class 7,Maths,Term 2,English,அரைவட்டம்,Semi-circle,True
Class 7,Maths,Term 2,English,மாறியின் ககனம்,Cube of a variable,True
Class 7,Maths,Term 2,English,சாய்வு வரிசை,Slanting row,True
Class 7,Maths,Term 2,English,தசம எண்,Decimal number,True
Class 7,Maths,Term 2,English,பனித்திவலைககள்,Snow flakes,True
Class 7,Maths,Term 2,English,தசமப் பகுதி,Decimal part,True
Class 7,Maths,Term 2,English,மாறியின் வரக்கம்,Square of a variable,False
Class 7,Maths,Term 2,English,தசமப் புள்ளி,Decimal point,True
