Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 7,Maths,Term 2,English,பரபபளவு,Area,True
Class 7,Maths,Term 2,English,நூறில் ஒன்று,Hundredth,True
Class 7,Maths,Term 2,English,அடிமானம்,Base,True
Class 7,Maths,Term 2,English,ரணம்,Celestial bodies,True
Class 7,Maths,Term 2,English,வான் ப�ொருட்கள்,Integral part,True
Class 7,Maths,Term 2,English,முழு எண் பகுதி,Interior opposite,True
Class 7,Maths,Term 2,English,வட்டம்,Circle,True
Class 7,Maths,Term 2,English,உள்ளெ திர் க�ோணம்,angle,True
Class 7,Maths,Term 2,English,வட்டவளையம்,Circular ring,True
Class 7,Maths,Term 2,English,தலையாயக் கெழு,Leading Coefficient,False
Class 7,Maths,Term 2,English,பரிதி,Circumference,True
Class 7,Maths,Term 2,English,குறியீடு,Notation,True
Class 7,Maths,Term 2,English,சரவசமம்,Congruence,True
Class 7,Maths,Term 2,English,பாதை,Pathway,True
Class 7,Maths,Term 2,English,சரவசம தன்மை,Congruency,True
Class 7,Maths,Term 2,English,பலக�ோணம்,Polygon,True
Class 7,Maths,Term 2,English,சரவசம முக்கோணம்,Congruent triangle,True
Class 7,Maths,Term 2,English,அடுக்கு,Power,True
Class 7,Maths,Term 2,English,அடுததடுதத உறுப்புககள்,Consecutive terms,True
Class 7,Maths,Term 2,English,ஒதத பக்கம்,Corresponding side,False
Class 7,Maths,Term 2,English,ஆரம்,Radius,True
Class 7,Maths,Term 2,English,க�ொள்கை,Criterion,True
Class 7,Maths,Term 2,English,அரைவட்டம்,Semi-circle,True
Class 7,Maths,Term 2,English,மாறியின் ககனம்,Cube of a variable,True
Class 7,Maths,Term 2,English,சாய்வு வரிசை,Slanting row,True
Class 7,Maths,Term 2,English,தசம எண்,Decimal number,True
Class 7,Maths,Term 2,English,பனித்திவலைககள்,Snow flakes,True
Class 7,Maths,Term 2,English,தசமப் பகுதி,Decimal part,True
Class 7,Maths,Term 2,English,மாறியின் வரக்கம்,Square of a variable,False
Class 7,Maths,Term 2,English,தசமப் புள்ளி,Decimal point,True
Class 7,Maths,Term 2,English,திட்ட வடிவம்,Standard form,True
Class 7,Maths,Term 2,English,படி,Degree,True
Class 7,Maths,Term 2,English,மேற்பொருந்துதல் முறை,method,True
Class 7,Maths,Term 2,English,விட்டம்,Diameter,True
Class 7,Maths,Term 2,English,பத்தில் ஒன்று,Tenth,True
Class 7,Maths,Term 2,English,"அடுக்குக் குறி, படிக் குறி",Exponent,True
Class 7,Maths,Term 2,English,பல்வண்ணக் ககட்டமைப்பு,Tessellations,True
Class 7,Maths,Term 2,English,அடுக்கு எண்,Exponent number,True
Class 7,Maths,Term 2,English,ஆயிரத்தில் ஒன்று,Thousandth,True
Class 7,Maths,Term 2,English,அடுக்கு வடிவம்,Exponential form,True
Class 7,Maths,Term 2,English,முக்கோண எண்கள்,Traingular number,True
Class 7,Maths,Term 2,English,வெளிக்கோணம்,Exterior angle,True
Class 7,Maths,Term 2,English,ஒன்றின் இலக்கம்,Unit digit,True
Class 7,Maths,Term 2,English,வேலியிடுதல்,Fencing,True
