Class,Subject,Term,Medium,Tamil_Term,English_Term
Class 7,Maths,Term 2,English,குறியீடு,Pathway
Class 7,Maths,Term 2,English,பாதை,Polygon
Class 7,Maths,Term 2,English,பலக�ோணம்,Power
Class 7,Maths,Term 2,English,அடுக்கு,Quadrantகக
Class 7,Maths,Term 2,English,ால்வட்டம்,Radius
Class 7,Maths,Term 2,English,ஆரம்,Semi-circle
Class 7,Maths,Term 2,English,அரைவட்டம்,Slanting row
Class 7,Maths,Term 2,English,சாய்வு வரிசை,Snow flakes
Class 7,Maths,Term 2,English,பனித்திவலைககள்,Square of a variable
Class 7,Maths,Term 2,English,மாறியின் வரக்கம்,Standard form
Class 7,Maths,Term 2,English,திட்ட வடிவம்,Superposition
Class 7,Maths,Term 2,English,மேற்பொருந்துதல் முறை,method
Class 7,Maths,Term 2,English,பத்தில் ஒன்று,Tenth
Class 7,Maths,Term 2,English,பல்வண்ணக் ககட்டமைப்பு,Tessellations
Class 7,Maths,Term 2,English,ஆயிரத்தில் ஒன்று,Thousandth
Class 7,Maths,Term 2,English,முக்கோண எண்கள்,Traingular number
Class 7,Maths,Term 2,English,ஒன்றின் இலக்கம்,Unit digit
Class 7,Maths,Term 2,English,அகலம்,Width
Class 7,Maths,Term 3,English,கூட்டுத் தEொகை,Amount
Class 7,Maths,Term 3,English,சுழற்சிக்கோணம்,Angle of rotation
Class 7,Maths,Term 3,English,எண்கணித சராசரி,Arithmetic Mean
Class 7,Maths,Term 3,English,கூட்டுச் சராசரி),Average
Class 7,Maths,Term 3,English,சராசரி,Beads
Class 7,Maths,Term 3,English,மணிகள்,Bimodal
Class 7,Maths,Term 3,English,இருமுகடுகள்,Borrower
Class 7,Maths,Term 3,English,கடன் வாங்குபவர்,Central tendency
Class 7,Maths,Term 3,English,(மையப்போக்கு),Chord
Class 7,Maths,Term 3,English,நாண்,Circular ring
Class 7,Maths,Term 3,English,வட்டவலயம்,Cutouts
Class 7,Maths,Term 3,English,வெட்டுத் துண்டுகள்,Data
Class 7,Maths,Term 3,English,தரவு,Decimal
Class 7,Maths,Term 3,English,பத்தின் கூரான,Decimal point
Class 7,Maths,Term 3,English,தசம புள்ளி,Dimension
Class 7,Maths,Term 3,English,பரிமாணம்,Discrete data
Class 7,Maths,Term 3,English,வெவ்வேறான தரவுகள்,(தEொடர்ச்சியற்ற)
Class 7,Maths,Term 3,English,வகுபடும் எண்,Dividend
Class 7,Maths,Term 3,English,வகுக்கும் எண்,Divisor
Class 7,Maths,Term 3,English,மதிப்பிடுதல்,Estimation
Class 7,Maths,Term 3,English,காரணிபபடுத்துதல்,Factorisation
Class 7,Maths,Term 3,English,காரணிகள்,Factors
Class 7,Maths,Term 3,English,திருபபம்,Flip Turn
Class 7,Maths,Term 3,English,நிகழ்வெண்,Frequency
Class 7,Maths,Term 3,English,வரைபடம்,Graph
Class 7,Maths,Term 3,English,நூறில் ஒரு பங்கு,Hundredths
Class 7,Maths,Term 3,English,முற்றொருமை,Identity
Class 7,Maths,Term 3,English,அசமத்தன்மை,Inequality
Class 7,Maths,Term 3,English,அசமன்பாடுகள்,Inequations
Class 7,Maths,Term 3,English,கடன் அளிபபவர்,Lender
Class 7,Maths,Term 3,English,சுழறசிமையம்,center of rotation
Class 7,Maths,Term 3,English,இடைநிலை,Median
Class 7,Maths,Term 3,English,முகடு,Mode
Class 7,Maths,Term 3,English,ஓருறுப்புக் க�ோவை,Monomials
Class 7,Maths,Term 3,English,எண்கோடு,Number line
Class 7,Maths,Term 3,English,ஓர் ஆண்டுக்கு,Per annum
Class 7,Maths,Term 3,English,சதவீதம்,Percentage
Class 7,Maths,Term 3,English,இட மதிப்பு,Place Value
Class 7,Maths,Term 3,English,அசல்,Principal
Class 7,Maths,Term 3,English,வீச்சு,Range
Class 7,Maths,Term 3,English,வட்டிவிகிதம்,Rate of Interest
Class 7,Maths,Term 3,English,பிரதியிடும் கணம்,Replacement set
Class 7,Maths,Term 3,English,தேர்ந்தெடுக்கபபட்ட,value
Class 7,Maths,Term 3,English,மதிப்பு (பிரதிநிதி),Simple interest
Class 7,Maths,Term 3,English,தனிவட்டி,Solution set
Class 7,Maths,Term 3,English,தீர்வு கணம்,Tally Marks
Class 7,Maths,Term 3,English,நேர்க்கோட்டு குறிகள்,Tenths
Class 7,Maths,Term 3,English,வதாக,Thousandths
Class 7,Maths,Term 3,English,ஆயிரத்தில் ஒரு பங்கு,Transformation
Class 7,Maths,Term 1,Tamil,அடிப்்பக்்கம்,Base
Class 7,Maths,Term 1,Tamil,அடுத்்தடுத்்தமையாக் கோ�ோணங்்கள்,Non-adjacent angle
Class 7,Maths,Term 1,Tamil,அடுத்துள்்ள கோ�ோணங்்கள்,Adjacent angle
Class 7,Maths,Term 1,Tamil,அடுத்துள்்ள பபக்்கங்்கள்,Adjacent sides
Class 7,Maths,Term 1,Tamil,அடைவு பபண்பு,Closure property
Class 7,Maths,Term 1,Tamil,அமைப்பு,Pattern
Class 7,Maths,Term 1,Tamil,இணை பபக்்கங்்கள்,Parallel sides
Class 7,Maths,Term 1,Tamil,இணைககரம்,Parallelogram
Class 7,Maths,Term 1,Tamil,இரு சமபபக்்கசரிவககம்,Isosceles trapezium
Class 7,Maths,Term 1,Tamil,உயரம்,Height
Class 7,Maths,Term 1,Tamil,உருவாக்குததல்,Formation
Class 7,Maths,Term 1,Tamil,உறுப்புககள்,Terms
Class 7,Maths,Term 1,Tamil,எண் கெழு,Numerical co-efficient
Class 7,Maths,Term 1,Tamil,எண் மதிப்பு,Numerical value
Class 7,Maths,Term 1,Tamil,ஒத்்த உறுப்புககள்,Like terms
Class 7,Maths,Term 1,Tamil,ஒத்்த கோ�ோணங்்கள்,Corresponding angles
Class 7,Maths,Term 1,Tamil,ஒப்பீடு,Compare
Class 7,Maths,Term 1,Tamil,மாறுபபட்்ட உறுப்புககள்,Unlike terms
Class 7,Maths,Term 1,Tamil,ஒழுங்குமுறை,Regulation
Class 7,Maths,Term 1,Tamil,ஒன்றுவிட்்ட,Alternate
Class 7,Maths,Term 1,Tamil,ணங்்கள்,Alternate interior
Class 7,Maths,Term 1,Tamil,ஒன்றுவிட்்ட வெளி கோ�ோணங்்கள்,angle
Class 7,Maths,Term 1,Tamil,angleகக,Alternate exterior
Class 7,Maths,Term 1,Tamil,ாட்சிப்்பபேழை,Showcase
Class 7,Maths,Term 1,Tamil,கிடைமட்்டம்,Horizontal
Class 7,Maths,Term 1,Tamil,குத்்ததெதிர் கோ�ோணங்்கள்,Vertically opposite
Class 7,Maths,Term 1,Tamil,குறுக்குவெட்டி,angles
Class 7,Maths,Term 1,Tamil,குறை முழுக்்கள்,Transversal
Class 7,Maths,Term 1,Tamil,கூட்்டல் எதிர்்மறை,Negative Integers
Class 7,Maths,Term 1,Tamil,கூட்்டல் சமனி,Additive Inverse
Class 7,Maths,Term 1,Tamil,கெழு,Additive Identity
Class 7,Maths,Term 1,Tamil,கோ�ோண இருசமவெட்டி,Co-efficient
Class 7,Maths,Term 1,Tamil,கோ�ோணத்தின் உட்்பகுதி,Angle bisector
Class 7,Maths,Term 1,Tamil,சமன்்பாடு,Interior of an angle
Class 7,Maths,Term 1,Tamil,சரிவககம்,Equation
Class 7,Maths,Term 1,Tamil,சாய்சதுரம்,Trapezium
Class 7,Maths,Term 1,Tamil,செங்குத்்ததாகக,Rhombus
Class 7,Maths,Term 1,Tamil,செங்குத்து,Vertically
Class 7,Maths,Term 1,Tamil,செங்குத்துச் சமவெட்டி,Perpendicular
Class 7,Maths,Term 1,Tamil,சேர்ப்புப் பபண்பு,bisector
Class 7,Maths,Term 1,Tamil,தொ�ொடர்வரிசை,Associative property
Class 7,Maths,Term 1,Tamil,நாற்சதுர இணை,Sequence
Class 7,Maths,Term 1,Tamil,நினைவுகூர்்தல்,Tetromino
Class 7,Maths,Term 1,Tamil,நேரிய கோ�ோண இணைககள்,Recall
Class 7,Maths,Term 1,Tamil,நேரியச் சமன்்பாடுககள்,Linear pair of angle
Class 7,Maths,Term 1,Tamil,ங்கீட்டுப் பபண்பு,Linear equationsபப
Class 7,Maths,Term 1,Tamil,ண்புககள்,Distributive propertyபப
Class 7,Maths,Term 1,Tamil,ரிமாற்றுப் பபண்பு,Propertiesபப
Class 7,Maths,Term 1,Tamil,பிரதியிடுததல்,property
Class 7,Maths,Term 1,Tamil,புதிர்,Substitution
Class 7,Maths,Term 1,Tamil,பெருக்்கல் சமனி,Puzzle
Class 7,Maths,Term 1,Tamil,பொ�ொதுமைப்்படுத்து,Multiplicative Identity
Class 7,Maths,Term 1,Tamil,போ�ோக்குவரத்து,Generalize
Class 7,Maths,Term 1,Tamil,மாறி,Traffic
Class 7,Maths,Term 1,Tamil,மாறிலி,Variable
Class 7,Maths,Term 1,Tamil,மிகை முழுக்்கள்,Constant
Class 7,Maths,Term 1,Tamil,முழுக்்கள்,Positive Integers
Class 7,Maths,Term 1,Tamil,முனை (அ) உச்சி,Integers
Class 7,Maths,Term 1,Tamil,மூலைவிட்்டம்,Vertex
Class 7,Maths,Term 1,Tamil,வரையறுக்்க படாததது.,Diagonal
Class 7,Maths,Term 1,Tamil,வில்்லலைககள்,Undefined
Class 7,Maths,Term 1,Tamil,கலைச்சொற்கள்,Tokens
Class 7,Maths,Term 1,Tamil,"ர். இரா. இராமானுஜம்,","போHோராசிரியர்,"
Class 7,Maths,Term 1,Tamil,"துணைப் பேராசிரியர்,","L.N. அரசுகலைக் கல்லூரி, பொHொன்்னனேரி."
Class 7,Maths,Term 1,Tamil,"நாதன், இ.நி.ஆ,","ஊ.ஒ.ந.நி.பள்ளி, கணேசபுரம், போHோளூர்,"
Class 7,Maths,Term 1,Tamil,"•  ராஜ் கிராஃபிக்ஸ், தேனி மாவட்்டம்.",In House QC
Class 7,Maths,Term 1,Tamil,ோர்:,VII_Glosary TM_T-I.indd   140
Class 8,Science,Full Year,English,அமிலம்,GLOSSARY
Class 8,Science,Full Year,English,அமிலமழை,Acid
Class 8,Science,Full Year,English,வளர் இளம் பருவம்,Acid rain
Class 8,Science,Full Year,English,காடுவளர்ப்பு,Adolescence
Class 8,Science,Full Year,English,வேளாண்மை,Afforestation
Class 8,Science,Full Year,English,உழவியல்,Agriculture
Class 8,Science,Full Year,English,உணவுப் பாதை,Agronomy
Class 8,Science,Full Year,English,வீச்சு,Alimentary canal
Class 8,Science,Full Year,English,நேர்மினவாய்,Amplitude
Class 8,Science,Full Year,English,அமிலநீக்கி,Anode
Class 8,Science,Full Year,English,செயற்கை நிறஙகாட்டி,Antacid
Class 8,Science,Full Year,English,செயற்கை சுவாசம்,Artificial Indicator
Class 8,Science,Full Year,English,விண்வெளி வீரர்,Artificial respiration
Class 8,Science,Full Year,English,மினகடத்தாப் ப�ொருள்,Astronaut
Class 8,Science,Full Year,English,சரிவிகித உணவு,Bad conductor
Class 8,Science,Full Year,English,காரம்,Balanced diet
Class 8,Science,Full Year,English,உயிரி டீசல்,Base
Class 8,Science,Full Year,English,உயிர்உரம்,Bio Diesel
Class 8,Science,Full Year,English,உயிரி பூச்சிக்கொல்லி,Bio fertilizer
Class 8,Science,Full Year,English,உயிரி க�ொன்றுண்ணிகள் -  Bio pradators,Bio pesticide
Class 8,Science,Full Year,English,ளம்,Biosphere
Class 8,Science,Full Year,English,க�ொதிநிலை,Boiling point
Class 8,Science,Full Year,English,எலும்பு மஜ்ைஜ,Bone marrow
Class 8,Science,Full Year,English,தாவரவியல் பூஙகா,Botanical garden
Class 8,Science,Full Year,English,குருத்தெலும்பு,Cartilages
Class 8,Science,Full Year,English,எதிர்மினவாய்,Cathode
Class 8,Science,Full Year,English,மின்துகள்,Charge
Class 8,Science,Full Year,English,வேதிச்சமனபாடு,Chemical equation
Class 8,Science,Full Year,English,வேதிவாய்பாடு,Chemical formula
Class 8,Science,Full Year,English,நுண் கேசஙகள்,Cilia
Class 8,Science,Full Year,English,அழுத்தப்பட்ட ப்பட்ட இயற்கைவாயு,CNG
Class 8,Science,Full Year,English,நிலக்கரி வாயு,Coal gas
Class 8,Science,Full Year,English,கல�ோரிமானி,Colorimeter
Class 8,Science,Full Year,English,இறுக்கஙகள்,Compressions
Class 8,Science,Full Year,English,ஒடுக்குதல்,Condensation
Class 8,Science,Full Year,English,கடத்துதல்,Conduction
Class 8,Science,Full Year,English,பாதுகாப்பு,Conservation
Class 8,Science,Full Year,English,வெப்பச்சலனம்,Convection
Class 8,Science,Full Year,English,பள்ளஙகள்,Craters
Class 8,Science,Full Year,English,பயிர்ப் பெருக்கம்,Crop production
Class 8,Science,Full Year,English,எரிதல்,Cumbustion
Class 8,Science,Full Year,English,வளைவான அமைப்பு,Curved pattern
Class 8,Science,Full Year,English,காடு அழிப்பு,Deforestation
Class 8,Science,Full Year,English,அடர்த்தி,Density
Class 8,Science,Full Year,English,படிதல்,Deposition
Class 8,Science,Full Year,English,பரிமாணஙகள்,Dimensions
Class 8,Science,Full Year,English,மின்னிறக்கக்குழாய்,Discharge tube
Class 8,Science,Full Year,English,புவித்தொடுப்பு,Earthing
Class 8,Science,Full Year,English,மின்புலம்,Electric field
Class 8,Science,Full Year,English,மினனழுத்தம்,Electric potential
Class 8,Science,Full Year,English,மின்னிறக்கம்,Electrical discharge
Class 8,Science,Full Year,English,மினனாறபகுத்தல்,Electrolysis
Class 8,Science,Full Year,English,மின்முலாம் பூசுதல்,Electroplating
Class 8,Science,Full Year,English,ஆபத்தான இனஙகள்,Endangered species
Class 8,Science,Full Year,English,நாளமில்லா சுரப்பிகள்,Endocrine glands
Class 8,Science,Full Year,English,உள் எலும்புக்கூடு,Endoskeleton
Class 8,Science,Full Year,English,உரம்,Fertilizer
Class 8,Science,Full Year,English,கசையிைழ,Flagellum
Class 8,Science,Full Year,English,இலையில் தெளிப்பு,Foliar spray
Class 8,Science,Full Year,English,உறைநிலை,Freezing point
Class 8,Science,Full Year,English,உராய்வு,Friction
Class 8,Science,Full Year,English,எரிப�ொருள்,Fuel
Class 8,Science,Full Year,English,மின்உருகு இழை,Fuse
Class 8,Science,Full Year,English,விண்மீன்திரள்,Galaxy
Class 8,Science,Full Year,English,புவி வடமுனை,Geographic north
Class 8,Science,Full Year,English,புவியியல்,Geological
Class 8,Science,Full Year,English,ப்பமயமாதல்,Global warming
Class 8,Science,Full Year,English,உலக வெப்ப,ப்பமயமாதல் -  Global warming
Class 8,Science,Full Year,English,நறகடத்தி,Good conductor
Class 8,Science,Full Year,English,பசுமை இல்ல விளைவு,Green house effect
Class 8,Science,Full Year,English,கடின நீர்,Hard water
Class 8,Science,Full Year,English,பாரம்பரியவிதை,Heirloom seed
Class 8,Science,Full Year,English,கிடைமட்டம்,Horizontal
Class 8,Science,Full Year,English,பிளக்க முடியாத,Indestructible
Class 8,Science,Full Year,English,நிறஙகாட்டி,Indicator
Class 8,Science,Full Year,English,தூணடல்,Induction
Class 8,Science,Full Year,English,குற்றொலி,Infrasonic
Class 8,Science,Full Year,English,கனிம அமிலம்,Inorganic acid
Class 8,Science,Full Year,English,இரும்புத் தாதுக்கள்,Iron ores
Class 8,Science,Full Year,English,நீர்ப் பாசனம்,Irrigation
Class 8,Science,Full Year,English,குரல் வளை,Larynx
Class 8,Science,Full Year,English,உள்ளுறை வெப்ப்பம்,Latent heat
Class 8,Science,Full Year,English,சுணணாம்பு நீர்,Lime water
Class 8,Science,Full Year,English,நெட்டலை,Glossary
Class 8,Science,Full Year,English,காந்தப்புலம்,longitudinal wave
Class 8,Science,Full Year,English,காந்தப்புலம்,Magnetic field
Class 8,Science,Full Year,English,காந்தத்திறன்,Magnetic Field
Class 8,Science,Full Year,English,உரமிடுதல்,Magnetic power
Class 8,Science,Full Year,English,எந்திரவியல்,Manuring
Class 8,Science,Full Year,English,மாதவிடைவு,Mechanical wave
Class 8,Science,Full Year,English,மாதவிடாய்,Menopause
Class 8,Science,Full Year,English,உல�ோகஙகள்,Menstruation
Class 8,Science,Full Year,English,கணிமவியல்,Metals
Class 8,Science,Full Year,English,தேசியபூஙகா,Mineralogy
Class 8,Science,Full Year,English,இயற்கைவாயு,National park
Class 8,Science,Full Year,English,இயற்கை நிறஙகாட்டி,Natural gas
Class 8,Science,Full Year,English,நடுநிலையாக்கல்,Natural Indicator
Class 8,Science,Full Year,English,கரிமஅமிலம்,Neutralisation
Class 8,Science,Full Year,English,அலைவுறுதல்,Organic Acid
Class 8,Science,Full Year,English,எலும்பு மென்மையாதல் -  Osteoporosis,Oscillate
Class 8,Science,Full Year,English,அணடம் விடுபடுதல்,Ovulation
Class 8,Science,Full Year,English,உழுதல்,Ploughing
Class 8,Science,Full Year,English,கு உகந்தநீர்,Potable water
Class 8,Science,Full Year,English,கர்ப்பமடைதல்,Pregnancy
Class 8,Science,Full Year,English,எரிப�ொருள்,Propellant
Class 8,Science,Full Year,English,உந்துவிசை,Propulsion
Class 8,Science,Full Year,English,பருவமடைதல்,Puberty
Class 8,Science,Full Year,English,வெப்பக்கப்பக்கதிர்வீச்சு,Radiation
Class 8,Science,Full Year,English,தளர்ச்சிகள்,Rarefactions
Class 8,Science,Full Year,English,சிவப்பு தரவுப் புத்தகம்,Red Data Book
Class 8,Science,Full Year,English,சுத்திகரிப்பு,Refining
Class 8,Science,Full Year,English,ட்டி,Refrigerator
Class 8,Science,Full Year,English,மின்தடை,Resistance
Class 8,Science,Full Year,English,உவர் நீர்,Saline water
Class 8,Science,Full Year,English,இரணடாம்நிலை,Secondary sex
Class 8,Science,Full Year,English,பால் பண்புகள்,characters
Class 8,Science,Full Year,English,துண்டு,Segment
Class 8,Science,Full Year,English,எலும்புக் கூடு,Skeleton
Class 8,Science,Full Year,English,கபாலம்,Skull
Class 8,Science,Full Year,English,வழவழப்புத்தன்மை,Soapy touch
Class 8,Science,Full Year,English,சூரிய ஆறறல்,Solar energy
Class 8,Science,Full Year,English,புளிப்புச்சுவை,Sour Taste
Class 8,Science,Full Year,English,விதைத்தல்,Sowing
Class 8,Science,Full Year,English,விண்வெளி ஆய்வுக்கலம்,Space probe
Class 8,Science,Full Year,English,தன்வெப்ப்பம்,Specific heat
Class 8,Science,Full Year,English,தன் வெப்ப ப்ப ஏற்புத்திறன்,Specific heat capacity
Class 8,Science,Full Year,English,பதஙகமாதல்,Sublimation
Class 8,Science,Full Year,English,த�ொஙகவிடப்பட்ட,Suspended
Class 8,Science,Full Year,English,மீய�ொலி,Ultrasonic
Class 8,Science,Full Year,English,மாறறஇயலாத,Unaltered
Class 8,Science,Full Year,English,அணடம் (ம) பேரணடம்,Universe
Class 8,Science,Full Year,English,வெற்றிடக்குடுவை,Vacuum flask
Class 8,Science,Full Year,English,மாறும் இணைதிறன்,Variable valency
Class 8,Science,Full Year,English,செங்குத்து,Vertical
Class 8,Science,Full Year,English,அதிர்வுகள்,Vibrations
Class 8,Science,Full Year,English,உள்ளுறுப்பு,Visceral organ
Class 8,Science,Full Year,English,நீர்வாயு,Water gas
Class 8,Science,Full Year,English,அலைநீளம்,Wave Length
Class 8,Science,Full Year,English,களை,Weed
Class 8,Science,Full Year,English,வனஉயிரி,Wildlife
Class 8,Science,Full Year,English,காறறாறறல்,Wind energy
Class 8,Science,Full Year,Tamil,அமிலம்,Acid
Class 8,Science,Full Year,Tamil,அமிலமழை,Acid rain
Class 8,Science,Full Year,Tamil,வளர் இளம் பருவம்,Adolescence
Class 8,Science,Full Year,Tamil,காடுவளர்ப்பு,Afforestation
Class 8,Science,Full Year,Tamil,வேளாண்மை,Agriculture
Class 8,Science,Full Year,Tamil,உழவியல்,Agronomy
Class 8,Science,Full Year,Tamil,உணவுப் பாதை,Alimentary canal
Class 8,Science,Full Year,Tamil,வீச்சு,Amplitude
Class 8,Science,Full Year,Tamil,நேர்மினவாய்,Anode
Class 8,Science,Full Year,Tamil,அமிலநீக்கி,Antacid
Class 8,Science,Full Year,Tamil,செயற்கை நிறஙகாட்டி,Artificial Indicator
Class 8,Science,Full Year,Tamil,செயற்கை சுவாசம்,Artificial respiration
Class 8,Science,Full Year,Tamil,விண்வெளி வீரர்,Astronaut
Class 8,Science,Full Year,Tamil,மினகடத்தாப் ப�ொருள்,Bad conductor
Class 8,Science,Full Year,Tamil,சரிவிகித உணவு,Balanced diet
Class 8,Science,Full Year,Tamil,காரம்,Base
Class 8,Science,Full Year,Tamil,உயிரி டீசல்,Bio Diesel
Class 8,Science,Full Year,Tamil,உயிர்உரம்,Bio fertilizer
Class 8,Science,Full Year,Tamil,உயிரி பூச்சிக்கொல்லி,Bio pesticide
Class 8,Science,Full Year,Tamil,உயிரி க�ொன்றுண்ணிகள்,Bio pradators
Class 8,Science,Full Year,Tamil,ளம்,Biosphere
Class 8,Science,Full Year,Tamil,க�ொதிநிலை,Boiling point
Class 8,Science,Full Year,Tamil,எலும்பு மஜ்ைஜ,Bone marrow
Class 8,Science,Full Year,Tamil,தாவரவியல் பூஙகா,Botanical garden
Class 8,Science,Full Year,Tamil,குருத்தெலும்பு,Cartilages
Class 8,Science,Full Year,Tamil,எதிர்மினவாய்,Cathode
Class 8,Science,Full Year,Tamil,மின்துகள்,Charge
Class 8,Science,Full Year,Tamil,வேதிச்சமனபாடு,Chemical equation
Class 8,Science,Full Year,Tamil,வேதிவாய்பாடு,Chemical formula
Class 8,Science,Full Year,Tamil,நுண் கேசஙகள்,Cilia
Class 8,Science,Full Year,Tamil,அழுத்தப்பட்ட ப்பட்ட இயற்கைவாயு,CNG
Class 8,Science,Full Year,Tamil,நிலக்கரி வாயு,Coal gas
Class 8,Science,Full Year,Tamil,கல�ோரிமானி,Colorimeter
Class 8,Science,Full Year,Tamil,இறுக்கஙகள்,Compressions
Class 8,Science,Full Year,Tamil,ஒடுக்குதல்,Condensation
Class 8,Science,Full Year,Tamil,கடத்துதல்,Conduction
Class 8,Science,Full Year,Tamil,பாதுகாப்பு,Conservation
Class 8,Science,Full Year,Tamil,வெப்பச்சலனம்,Convection
Class 8,Science,Full Year,Tamil,பள்ளஙகள்,Craters
Class 8,Science,Full Year,Tamil,பயிர்ப் பெருக்கம்,Crop production
Class 8,Science,Full Year,Tamil,எரிதல்,Cumbustion
Class 8,Science,Full Year,Tamil,வளைவான அமைப்பு,Curved pattern
Class 8,Science,Full Year,Tamil,காடு அழிப்பு,Deforestation
Class 8,Science,Full Year,Tamil,அடர்த்தி,Density
Class 8,Science,Full Year,Tamil,படிதல்,Deposition
Class 8,Science,Full Year,Tamil,பரிமாணஙகள்,Dimensions
Class 8,Science,Full Year,Tamil,மின்னிறக்கக்குழாய்,Discharge tube
Class 8,Science,Full Year,Tamil,புவித்தொடுப்பு,Earthing
Class 8,Science,Full Year,Tamil,மின்புலம்,Electric field
Class 8,Science,Full Year,Tamil,மினனழுத்தம்,Electric potential
Class 8,Science,Full Year,Tamil,மின்னிறக்கம்,Electrical discharge
Class 8,Science,Full Year,Tamil,மினனாறபகுத்தல்,Electrolysis
Class 8,Science,Full Year,Tamil,மின்முலாம் பூசுதல்,Electroplating
Class 8,Science,Full Year,Tamil,ஆபத்தான இனஙகள்,Endangered species
Class 8,Science,Full Year,Tamil,நாளமில்லா சுரப்பிகள்,Endocrine glands
Class 8,Science,Full Year,Tamil,உள் எலும்புக்கூடு,Endoskeleton
Class 8,Science,Full Year,Tamil,உரம்,Fertilizer
Class 8,Science,Full Year,Tamil,கசையிைழ,Flagellum
Class 8,Science,Full Year,Tamil,இலையில் தெளிப்பு,Foliar spray
Class 8,Science,Full Year,Tamil,உறைநிலை,Freezing point
Class 8,Science,Full Year,Tamil,உராய்வு,Friction
Class 8,Science,Full Year,Tamil,எரிப�ொருள்,Fuel
Class 8,Science,Full Year,Tamil,மின்உருகு இழை,Fuse
Class 8,Science,Full Year,Tamil,விண்மீன்திரள்,Galaxy
Class 8,Science,Full Year,Tamil,புவி வடமுனை,Geographic north
Class 8,Science,Full Year,Tamil,புவியியல்,Geological
Class 8,Science,Full Year,Tamil,ப்பமயமாதல்,Global warming
Class 8,Science,Full Year,Tamil,உலக வெப்ப,ப்பமயமாதல் -  Global warming
Class 8,Science,Full Year,Tamil,நறகடத்தி,Good conductor
Class 8,Science,Full Year,Tamil,பசுமை இல்ல விளைவு,Green house effect
Class 8,Science,Full Year,Tamil,கடின நீர்,Hard water
Class 8,Science,Full Year,Tamil,பாரம்பரியவிதை,Heirloom seed
Class 8,Science,Full Year,Tamil,கிடைமட்டம்,Horizontal
Class 8,Science,Full Year,Tamil,பிளக்க முடியாத,Indestructible
Class 8,Science,Full Year,Tamil,நிறஙகாட்டி,Indicator
Class 8,Science,Full Year,Tamil,தூணடல்,Induction
Class 8,Science,Full Year,Tamil,குற்றொலி,Infrasonic
Class 8,Science,Full Year,Tamil,கனிம அமிலம்,Inorganic acid
Class 8,Science,Full Year,Tamil,இரும்புத் தாதுக்கள்,Iron ores
Class 8,Science,Full Year,Tamil,நீர்ப் பாசனம்,Irrigation
Class 8,Science,Full Year,Tamil,குரல் வளை,Larynx
Class 8,Science,Full Year,Tamil,உள்ளுறை வெப்ப்பம்,Latent heat
Class 8,Science,Full Year,Tamil,சுணணாம்பு நீர்,Lime water
Class 8,Science,Full Year,Tamil,நெட்டலை,longitudinal wave
Class 8,Science,Full Year,Tamil,காந்தப்புலம்,Magnetic field
Class 8,Science,Full Year,Tamil,காந்தப்புலம்,Magnetic Field
Class 8,Science,Full Year,Tamil,காந்தத்திறன்,Magnetic power
Class 8,Science,Full Year,Tamil,உரமிடுதல்,Manuring
Class 8,Science,Full Year,Tamil,எந்திரவியல்,Mechanical wave
Class 8,Science,Full Year,Tamil,மாதவிடைவு,Menopause
Class 8,Science,Full Year,Tamil,மாதவிடாய்,Menstruation
Class 8,Science,Full Year,Tamil,உல�ோகஙகள்,Metals
Class 8,Science,Full Year,Tamil,கணிமவியல்,Mineralogy
Class 8,Science,Full Year,Tamil,தேசியபூஙகா,National park
Class 8,Science,Full Year,Tamil,இயற்கைவாயு,Natural gas
Class 8,Science,Full Year,Tamil,இயற்கை நிறஙகாட்டி,Natural Indicator
Class 8,Science,Full Year,Tamil,நடுநிலையாக்கல்,Neutralisation
Class 8,Science,Full Year,Tamil,கரிமஅமிலம்,Organic Acid
Class 8,Science,Full Year,Tamil,அலைவுறுதல்,Oscillate
Class 8,Science,Full Year,Tamil,எலும்பு மென்மையாதல்,Osteoporosis
Class 8,Science,Full Year,Tamil,அணடம் விடுபடுதல்,Ovulation
Class 8,Science,Full Year,Tamil,உழுதல்,Ploughing
Class 8,Science,Full Year,Tamil,கு உகந்தநீர்,Potable water
Class 8,Science,Full Year,Tamil,கர்ப்பமடைதல்,Pregnancy
Class 8,Science,Full Year,Tamil,எரிப�ொருள்,Propellant
Class 8,Science,Full Year,Tamil,உந்துவிசை,Propulsion
Class 8,Science,Full Year,Tamil,பருவமடைதல்,Puberty
Class 8,Science,Full Year,Tamil,வெப்பக்கப்பக்கதிர்வீச்சு,Radiation
Class 8,Science,Full Year,Tamil,தளர்ச்சிகள்,Rarefactions
Class 8,Science,Full Year,Tamil,சிவப்பு தரவுப் புத்தகம்,Red Data Book
Class 8,Science,Full Year,Tamil,சுத்திகரிப்பு,Refining
Class 8,Science,Full Year,Tamil,ட்டி,Refrigerator
Class 8,Science,Full Year,Tamil,மின்தடை,Resistance
Class 8,Science,Full Year,Tamil,உவர் நீர்,Saline water
Class 8,Science,Full Year,Tamil,இரணடாம்நிலை,Secondary sex
Class 8,Science,Full Year,Tamil,பால் பண்புகள்,characters
Class 8,Science,Full Year,Tamil,துண்டு,Segment
Class 8,Science,Full Year,Tamil,எலும்புக் கூடு,Skeleton
Class 8,Science,Full Year,Tamil,கபாலம்,Skull
Class 8,Science,Full Year,Tamil,வழவழப்புத்தன்மை,Soapy touch
Class 8,Science,Full Year,Tamil,சூரிய ஆறறல்,Solar energy
