Class,Subject,Term,Medium,Tamil_Term,English_Term
Class 6,Maths,Term 1,Tamil,விவரங்்களைச் சேகரித்தல்,Collecting data
Class 6,Maths,Term 1,Tamil,விவரம் / தரவு,Data/Information
Class 6,Maths,Term 1,Tamil,விவரித்தல்,Interpret
Class 6,Maths,Term 1,Tamil,விளக்்கப்்படம்,Pictograph
Class 6,Maths,Term 1,Tamil,வெட்டுதல் /சசந்தித்தல்,Coincide
Class 6,Maths,Term 1,Tamil,வெட்டும் கோ>ோடுகள்,Intersecting lines
Class 6,Maths,Term 1,Tamil,வெட்டும் புள்ளி,Point of Intersectionகக
Class 6,Maths,Term 1,Tamil,ச்சொற்்கள்,6th_Maths_TM_Term1_Answer.indd   131
Class 6,Maths,Term 1,Tamil,முனைவர் மு.பப. ஜெயராாமன்,"உததவிப் பேராாசிரியர், L.N. அரசு கல்லூரி"
Class 6,Maths,Term 1,Tamil,"முனைவர் நாா. கீதாதா, உததவி பேராாசிரியர்","L.N. அரசு கல்லூரி, பொ�ொன்்னனேரி-601204"
Class 6,Maths,Term 1,Tamil,"சீ. காார்த்திகேயன், துணை பேராாசிரியர்","L.N. அரசு கல்லூரி, பொ�ொன்்னனேரி-601204"
Class 6,Maths,Term 1,Tamil,சென்்னனை.,In-House - QC
Class 6,Maths,Term 1,Tamil,"ம், சென்்னனை",EMIS தொ�ொழில்நுட்்பக் குழு
Class 6,Maths,Term 1,Tamil,ஒருங்கிணைந்்த பபள்ளிக்்கல்வி இயக்்ககம்,6th_Maths_TM_Term1_Answer.indd   132
Class 6,Maths,Term 2,Tamil,அசமபக்க முக்ககோணம்,Scalene triangle
Class 6,Maths,Term 2,Tamil,செவ்விய எண் / நிறைவு எண்,Perfect Number
Class 6,Maths,Term 2,Tamil,அடக்க விலை,Cost price
Class 6,Maths,Term 2,Tamil,தள்ளுபடி,Discount
Class 6,Maths,Term 2,Tamil,அடி,Foot
Class 6,Maths,Term 2,Tamil,தன்னைத் தானே சுற்றுவது,Rotate
Class 6,Maths,Term 2,Tamil,அணு ககடிகாரம்,Atomic clock
Class 6,Maths,Term 2,Tamil,திடட அலகுககள்,Standard Units
Class 6,Maths,Term 2,Tamil,னை விலை,Maximum retail price
Class 6,Maths,Term 2,Tamil,திடட அளவைககள்,Standardised measure
Class 6,Maths,Term 2,Tamil,அளவைககள்,Measurement
Class 6,Maths,Term 2,Tamil,நடடம் / இழப்புத் ெதாகை,Loss
Class 6,Maths,Term 2,Tamil,ஆயிரம் ஆண்டுககள்,Millennium
Class 6,Maths,Term 2,Tamil,நள்ளிரவு,Midnight
Class 6,Maths,Term 2,Tamil,எண்கள்,Amicable numbers
Class 6,Maths,Term 2,Tamil,நிமிட முள்,Minute hand
Class 6,Maths,Term 2,Tamil,இணை க�ோடுககள்,Parallel lines
Class 6,Maths,Term 2,Tamil,நீர் ககடிகாரம்,Water clock
Class 6,Maths,Term 2,Tamil,இயற்கணித க�ோவை,Algebraic expression
Class 6,Maths,Term 2,Tamil,ண்டு,Century
Class 6,Maths,Term 2,Tamil,இரட்டை எண்,Even number
Class 6,Maths,Term 2,Tamil,நேர இடைவெளி,Duration
Class 6,Maths,Term 2,Tamil,இரட்டை பகா எண்கள்,Twin primes
Class 6,Maths,Term 2,Tamil,ந�ொடிமுள்,Seconds  hand
Class 6,Maths,Term 2,Tamil,இரயில்வே நேரம்,Railway time
Class 6,Maths,Term 2,Tamil,பகா எண்,Prime number
Class 6,Maths,Term 2,Tamil,இருசமபக்க முக்ககோணம்,Isosceles triangle
Class 6,Maths,Term 2,Tamil,பகு எண்,Composite number
Class 6,Maths,Term 2,Tamil,இலக்க முறை ககடிகாரம்,Digital clock
Class 6,Maths,Term 2,Tamil,பக்கம்,Side
Class 6,Maths,Term 2,Tamil,பட்டியல்,Bill
