Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 6,Maths,Term 3,English,தஙக விகிதம்,Golden ratio,True
Class 6,Maths,Term 3,English,சுழல் சமச்சீர்,Rotational symmetry,False
Class 6,Maths,Term 3,English,அரை சதுரஙகள்,Half squares,True
Class 6,Maths,Term 3,English,தEொடர் வரிசை,Sequence,True
Class 6,Maths,Term 3,English,உயரம்,Height,True
Class 6,Maths,Term 3,English,பககம்,Side,True
Class 6,Maths,Term 3,English,கிடை டைமட்டக் ேகாடு,Horizontal line,True
Class 6,Maths,Term 3,English,குறியீட்டு எண்,Signed number,True
Class 6,Maths,Term 3,English,தகா பினனம்,Improper fraction,True
Class 6,Maths,Term 3,English,சாய்வாக,Slant,True
Class 6,Maths,Term 3,English,உட்புற எல்லை,Inner boundary,True
Class 6,Maths,Term 3,English,மிகச்சிறிய,Smallest,True
Class 6,Maths,Term 3,English,அறிவுறுத்துதல்,Instruction,True
Class 6,Maths,Term 3,English,வகைபபடுத்துதல் /,Sorting,True
Class 6,Maths,Term 3,English,முழுககள்,Integers,True
Class 6,Maths,Term 3,English,முறைபபடுத்துதல்,Inverse,True
Class 6,Maths,Term 3,English,சதுரம்,Square,True
Class 6,Maths,Term 3,English,ஒழுஙகற்ற வடிவஙகள்,Irregular shapes,True
Class 6,Maths,Term 3,English,சதுர அலகுகள்,Square units,True
Class 6,Maths,Term 3,English,தEொடர் வளர் அமைப்பு,Iterative pattern,True
Class 6,Maths,Term 3,English,தEொடரி,Successor,True
Class 6,Maths,Term 3,English,தEொடர் வளர் செயல்முறை,Iterative process,True
Class 6,Maths,Term 3,English,மேறபகுதி / தளம்,Surface,True
Class 6,Maths,Term 3,English,மிகப் பெரிய,Largest,True
Class 6,Maths,Term 3,English,சமச்சீர்,Symmetry,True
Class 6,Maths,Term 3,English,நீளம்,Length,True
Class 6,Maths,Term 3,English,இடப் ெபயர்வு,Translation,True
Class 6,Maths,Term 3,English,ஓரின பினனம்,Like fraction,True
Class 6,Maths,Term 3,English,இடப் ெபயர்வு,Translational symmetry,True
Class 6,Maths,Term 3,English,சமச்சீர்க் க�ோடு,Line of symmetry,True
Class 6,Maths,Term 3,English,சமச்சீர்,Measure,True
Class 6,Maths,Term 3,English,அளவை,Triangle,True
Class 6,Maths,Term 3,English,முக்கோணம்,Mixed fraction,True
Class 6,Maths,Term 3,English,கலப்பு பினனம்,Unit fraction,True
Class 6,Maths,Term 3,English,ஓரலகு பினனம்,Natural number,True
Class 6,Maths,Term 3,English,இயல் எண்,Unit square,True
Class 6,Maths,Term 3,English,ஓரலகு சதுரம்,Negative integers,True
Class 6,Maths,Term 3,English,குறை முழுககள்,Unlike fraction,True
Class 6,Maths,Term 3,English,வேற்றின பினனம்,Negative number,True
Class 6,Maths,Term 3,English,குறை எண்,Vertical line,True
Class 6,Maths,Term 3,English,negative integers குறையற்ற முழுககள்,Non,False
Class 6,Maths,Term 3,English,முழு எண்,Whole number,True
Class 6,Maths,Term 1,Tamil,பின்்வ ரும் படங்கள் ஒவ்வொன்றிலும் எத்்தனை முக்கோணங்கள் உள்்ளன?,(i),True
Class 6,Maths,Term 1,Tamil,பின்்வ ரும் படத்தில் 10 ஆவது அமைப்பில் எத்்தனை புள்ளிகள் இருக்கும் எனக் காண்க.,(iv),True
Class 6,Maths,Term 1,Tamil,118 6 ஆம் வகுப்பு கணக்கு,(ii),True
Class 6,Maths,Term 1,Tamil,அடுத்த அமைப்்பபை வரைக.,(i),False
Class 6,Maths,Term 1,Tamil,ஒவ்வோர் அமைப்பிலும் எத்்தனை புள்ளிகள் பயன்்படுத்்தப்்பட்டுள்்ளன என்்பதை,(ii),False
Class 6,Maths,Term 1,Tamil,அமைப்பு விதியை விளக்குக.,(iii),False
Class 6,Maths,Term 1,Tamil,ஆவது அமைப்பில் எத்்தனை புள்ளிகள் இருக்கும் எனக் காண்க.,(iv),False
Class 6,Maths,Term 1,Tamil,பின்்வ ரும் படங்களில் எத்்தனை சதுரங்கள் உள்்ளன?,(i),True
Class 6,Maths,Term 1,Tamil,கீழே உள்்ள படத்தில் எத்்தனை வட்்டங்கள் உள்்ளன?,(ii),True
Class 6,Maths,Term 1,Tamil,எண்ணிக்்ககையைக் காண்க.,(i),True
Class 6,Maths,Term 1,Tamil,தகவல் செயலாக்கம் 119,(ii),True
Class 6,Maths,Term 1,Tamil,படி–1 இணைய உலாவியை திறந்து கீழே கொ�ொடுக்்கப்்பட்டுள்்ள இணைப்்பபை செய்து,copy,False
Class 6,Maths,Term 1,Tamil,செய்யவும். (அல்்லது) கீழே கொ�ொடுக்்கப்்பட்டுள்்ள உரலியை தட்்டச்சு செய்யவும்.,paste,False
Class 6,Maths,Term 1,Tamil,படி– என்்ற பக்்கம் தோ�ோன்றும். அங்்ககே முக்கோணம் தொ�ொடர்பான பல்்வவேறு,“Genius Puzzles”,False
Class 6,Maths,Term 1,Tamil,புதிர்கள் இடம்்பபெற்றிருக்கும். இந்த பக்்கத்தில்,“HOW MANY TRIANGLES ARE THERE”,False
Class 6,Maths,Term 1,Tamil,படி–3 புதிர்்களைக் கணக்கிட்டு அதற்கான உங்கள் விடையைக் காண என்்ற,“View Answer”,False
